Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
12/02/2016,Consumer Loan,Vehicle loan,Taking out the loan or lease,,Capitol One 360 keeps changing what I owe on my loan and they also changed my mailing address on there website. They changed it to a P.O. box I know longer use and I never even told them I had it. It shows on my credit report that I have on and thats it. Im still at the same address as the one from when I purchased the vehicle so its a little scary that my address just changes like that. The credit bureaus are reporting a different amount than I owe and Im getting notices that my car loan increased.,,Capital One,OH,453XX,,Consent provided,Web,12/02/2016,Closed with explanation,Yes,No,2233355
12/15/2016,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"I requested all XXXX reports. I got through the XXXX process just fine. Got that report okay. 
But the "" Get your next report '' button on the annual report webpage does not respond. So there is no way to continue on to the next XXXX reports that I requested. So I went back into the request process, and now Experian says that "" Our records indicate that you have already received your free annual credit report from Experian. '' I have not received anything from either Experian nor XXXX yet. 
How can I get them now? The Experian "" Contact '' page does not work. It lets you enter comments and then it displays an error message and tell you to re-enter the contact info. So there 's no way to get someone at Experian to even know there 's a problem. This is really frustrating.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,FL,320XX,,Consent provided,Web,12/15/2016,Closed with non-monetary relief,Yes,No,2252210
11/13/2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Having problems with customer service,I received a forberance on my loans last spring. XXXX 2016. When i saw i was recently reported the last few mths for non payment i contacted the Fed Loan Servicing center and my info was not entered correctly on the fed loan side. The women i spoke with stated shefixed the error and suggested i file a dispute. They will correct the statemenr of multiple late payments.,,AES/PHEAA,PA,151XX,,Consent provided,Web,11/15/2016,Closed with explanation,Yes,No,2205926
01/24/2017,Credit reporting,,Incorrect information on credit report,Account terms,"As of Tuesday, XXXX XXXX, 2017, TransUnion is still knowingly and illegally reporting a debt of {$110.00} to XXXX for XXXX XXXX.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",AL,358XX,,Consent provided,Web,01/24/2017,Closed with explanation,Yes,,2308815
12/06/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"We sold our XXXX home on XX/XX/2016 our lender was Vanderbilt Mortgage. Today is XX/XX/2016 and they just notified me today that we need to send a letter to the XXXX XXXX homeowners insurance to cancel the insurance because it renewed during the payoff. So they will not release the title until that is done. Ok fine but it has already been past the 10 days that the law states they have to release the XXXX once they received their money ( XXXX ). We have people waiting for their title. The check to XXXX cleared the title companies bank on XX/XX/2016. We never even wanted this home owners insurance company but we were told we had to go with this XXXX, the same with the Lender we were told Vanderbilt mortgage was the only mortgage company that approved us. Well now I realize why, XXXX owns all of the companies they are all part of XXXX. This was a XXXX guess who owns XXXX XXXX Seems quite illegal to me. This company has seemed shady from day XXXX but when you need a house in XX/XX/XXXX you tend to overlook things until it is too late. there were many things not done right during this loan.",,Vanderbilt Mortgage & Finance,MO,630XX,,Consent provided,Web,12/06/2016,Closed with explanation,Yes,No,2237891
01/26/2017,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt resulted from identity theft,"Re : STELLAR RECOVERY, INC ( Collection company ) refused to Verify and Validate of Purported Debt pursuant the Fair Debt Collection Practices Act ( "" FDCPA '' ), as stated in XXXX XXXX XXXX, for partial Account Number : XXXX, - hereinafter referred to as "" Account. '' Dear Sir or Madam : On XXXX 2016 I found out from my credit report that STELLAR RECOVERY, INC ( "" STELLAR '' ) Address : STELLAR RECOVERY, INC, XXXX XXXX XXXX XXXX XXXX XXXX, XXXX, MT XXXX put a collection in my Credit report. On XXXX XXXX 2016 I sent XXXX letters to the STELLAR RECOVERY, INC ( "" STELLAR '' ) Address : STELLAR RECOVERY, INC, XXXX XXXX XXXX XXXX XXXX XXXX, XXXX, MT XXXX with attention to Dispute Department, to XXXX XXXX and to XXXX XXXX via XXXX XXXX Mail ( enclosed ), but all above people are refused to provide me with the copies of the requested letters which they should sent me before STELLAR file a collection with the XXXX and XXXX ( "" credit bureaus '' ). Also, in XXXX STELLAR verified above account with the above credit bureaus. 

On my first request of verification ( enclosed ), I requested from the STELLAR to provide me with all copies of letters which STELLAR should sent me before they file/put negative marks on my credit reports with the XXXX and XXXX ( "" credit bureaus '' ) by FDCPA law. But STELLAR refused to provide me any of requested copies. Now, I am demanding if STELLAR ca n't provide me with those copies, then STELLAR must to DELETE above account from the Credit Bureaus within next 15 days with the written confirmation. 

I would like to ask Consumer Financial Protection Bureau to help me to put STELLAR and above names to the investigation list, I believe ( based of the complaint from the XXXX ) that I am not the first person who was harassed by the STELLAR. 

I hope that Consumer Financial Protection Bureau /Representative will be able to successfully resolve my collection reporting issue. Thank you for your help.",Company believes it acted appropriately as authorized by contract or law,Stellar Recovery Inc.,CA,957XX,,Consent provided,Web,01/31/2017,Closed with explanation,Yes,,2312268
11/10/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,"There has been a collection added to my report on all XXXX bureaus, that does not belong to me for {$890.00}. The collection company is XXXX XXXX collecting for XXXX XXXX XXXX. I have been doing searches on the company name, XXXX XXXX XXXX, and I keep seeing SCAM, FRAUD - lawsuits by states - cease and desist orders from states. I have filed disputes with XXXX of the bureaus and I will call the XXXX. I have worked so hard on my credit and I 'm just sick that I have to spend all of this time chasing down a fraudulent report. I 'm reporting this in hopes of clearing it up and to provide information, as I suspect I 'm not the only one this has happened to. Please Help.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,FL,322XX,,Consent provided,Web,11/10/2016,Closed with non-monetary relief,Yes,No,2204334
12/16/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,I was a victim of identity theft and noticed a collection from CREDIT CONTROL SERVI I 've attempted to dispute multiple times however no response on their end. Not sure what else to do. Police department told me to contact the federal trade commision which I wrote a formal complaint against CREDIT CONTROL SERVI in regards to this matter. The FTC also instructed me to complete a id theft affidavit through identity theft.gov. Attached is my document. Thank you,Company can't verify or dispute the facts in the complaint,"CCS Financial Services, Inc.",TX,775XX,,Consent provided,Web,12/16/2016,Closed with explanation,Yes,No,2253209
11/20/2016,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"I built my home in XXXX and had a Countrywide Home Loan. My husband died XXXX XXXX. I had to file chapter XXXX on his medical bills. My attorney sent to Countrywide that my loan was excluded from the bankruptcy and debt reaffirmed. Between the time my bankruptcy was discharged, which was XXXX Bank of America purchased my loan from Countrywide who did not pass along my file or reaffirmation on my mortgage. A few months after my bankruptcy discharge, I received notice from Bank of America that my home loan was discharged and I was going to be evicted. I had never missed a loan payment and always paid on time. 

Shocked and phoned my attorney and then BofA. My attorney forward the reaffirmation to BofA who stated it was too late. I was then advised by Bank of America that due to my circumstances I apply for a modification loan, which when signed would reassign my debt. The beginning of the BofA lies. 

In order to qualify they instructed me to stop paying my mortgage, as I was current on my loan. So stopped payment as instructed filled out the loan modification paperwork. After two years of lost files, eviction threats, repeated loan modification applications, thousands of repeated documents sent over and over again, XXXX different representatives, crying at Bank of America modification offices from frustration, endless letters to the president/ceo of bank of america, only to get generic letters back, trying to make my mortgage payment without acceptance. 

I had lost my husband and then spent 2 years fighting not to lose my home which I should never have had to do. I then tried to stop the modification but they would allow me to pay my mortgage stating I was in default and my loan was discharged. I would n't have been in default if they would n't have made stop paying my mortgage, claiming I did n't qualify for the modification since my loan was current. 

It was the most stressful 2 years on this BofA merry go round. I put $ XXXX down on my home. I had a great job and could afford my payments. I did n't want to lose my home, I had just lost my husband. I finally saw on the news that BofA was in trouble and they were send representatives to meet in person for those that had modification applications. I phoned the # and was able to get an appointment letter. I slept on the floor of the convention center in XXXX XXXX to meet with a BofA rep. I was finally given a loan modification on XXXX/XXXX/2012 at the convention center. What I was offered I did n't understand, my loan balance was {$370000.00}, they charged me the {$370000.00} plus {$60000.00} for fees making my loan modification balance {$430000.00}. I was given no adjustment no discounts as originally promised. I signed the documents, not knowing what to do. I was a widow and I did n't want to lose my home and was exhausted from fighting to get out of the application process. 

I received a letter from BofA stating that my loan modification was recorded and they would be reporting to the XXXX credit bureaus and it again would appear on my credit as a current loan, as it had appeared on my credit as a "" discharged '' debt. 

Well guess what that never happened. My credit still shows the debt as discharged in my bankruptcy, the modification did not reconfirm my debt. Again never missed a payment, a letter from BofA stating that would happen and years of asking for them to honor their word. Nothing. 
I hired another attorney, in speaking to BofA they told my attorney that they would have to re-open my bankruptcy that was discharged XXXX. The attorney, XXXX XXXX tried but the judge would not re-open my bankruptcy to reinstate my debt. So I have paid for years on a mortgage that is discharged, yet I have a loan that I am paying on. 

2nd issue, I had a second on my original home loan with Countrywide that was also discharged in my bankruptcy. I continue to get threatening letters from XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Bank of America,CA,925XX,,Consent provided,Web,11/20/2016,Closed with explanation,Yes,No,2216479
03/24/2015,Credit card,,Other,,"Received Capital One charge card offer XXXX. Applied, was accepted ( {$500.00} limit ), activated card and used for XXXX presents. Charge card # XXXX. Right after activating card ... Capital One sent me another card with same {$500.00} limit ... never activated ... never used that card. First bill from above card # came due XXXX and minimum payment due was {$15.00}. I sent in {$20.00} via USPMO and sent in before due date. With the XXXX non-activated, non used credit card ... ..they also sent me bill for some yearly fees when never even activated the card. So called them up ... ... .told them did not want the card and sent back to them. Well ... .get my next bill from the card # above ( XXXX ) ... .they did not credit me for the {$20.00} payment and charged me outrageous over the limit fees, late fees, etc ... and now {$70.00} payment due. So, I called up, their rep stated they accidentally applied my {$20.00} payment to wrong account number and would be corrected. So, I sent in a {$70.00} payment via USPMO along with note to make sure account corrected and both payments applied to correct account number ( minimum due and wanted to keep that card and also repair my credit from bankruptcy in XXXX or XXXX. ) So ... XXXX bill came in the mail ... .and once again ... ..they did not apply my payment of {$70.00}, nor the previous payment of {$20.00} ... .which they stated they would correct. They charged me more outrageous over the limit fees, late fees, etc, along with some stupid note about "" spreading yourself too thin. '' I thought wow ... .this is total bs ... ..so I called numerous times, wrote numerous times ... with no success of them correcting my account, when they acknowledged their mistake ( s ) ... ... then they wanted {$120.00} for minimum payment ... .I thought this is totally illegal. Sent my payments in on time and sent in more than minimum to even begin with. Kept calling and writing, with no resolution like they stated. I totally quit paying at that point ... Did not know what else to do at that time. Sometime around end of XXXX started getting threatening phone calls from some collection agency ... ... I mean really threatening. Like about every other day. Well, I ended up extremely ill, in and out of hospitals around that time, doctors, more hospitals, XXXX, XXXX, XXXX ... ..etc ... ..ended up in XXXX and XXXX entire summer, due to XXXX, XXXX ( XXXX at time ) XXXX ... XXXX, XXXX, and more ( Have all the records. ) Anyway ... come XXXX or XXXX, XXXX, XXXX, XXXX put a freeze on my bank account. ( currently XXXX XXXX ... Never knew took me to court & did an illegal Judgement. Called Capital One ... they new NOTHING ... Called XXXX etc..asked for verification XXXX XXXX ), etc..of my account, payments, court order, etc. Did receive back some info of my account. It clearly shows that they put my more than minimum payments onto a totally different account ... ..I now have the proof, of their illegal practices regarding Capital One and XXXX, XXXX and XXXX. I also have my stubs from my payments sent to them via USPMO for further proof. Now, just recently I have been calls at my home from unknown number stating to call XXXX stating something to the effect of ( my name ) and "" property at ( my home ) address '' being sent from the clerks office. My Mother, who is owner of this home, has also been getting such calls and days in row ... regarding me and the "" property at ( my home address. ) and clerk of court. Now she is the owner of this home which we rent ... and her property has nothing to do with my Capital One account which they totally illegally screwed me on..along with XXXX, XXXX XXXX XXXX illegal collection practices. So, I did look on website, and the Attorney for XXXX, XXXX, XXXX did do a Judgement renewal previous to us getting these harassing, threatening, illegal calls. Need help here. 
",,Capital One,OH,440XX,,Consent provided,Web,03/30/2015,Closed with explanation,Yes,No,1297939
